date,base_currency,quote_currency,rate
2021-01-04,EUR,EUR,1.0000000000
2021-01-04,EUR,GBP,1.1700000000
2021-01-04,EUR,USD,0.9200000000
2021-01-05,EUR,EUR,1.0000000000
2021-01-05,EUR,GBP,1.1682072066
2021-01-05,EUR,USD,0.9172022319
2021-01-06,EUR,EUR,1.0000000000
2021-01-06,EUR,GBP,1.1666927814
2021-01-06,EUR,USD,0.9145480989
2021-01-07,EUR,EUR,1.0000000000
2021-01-07,EUR,GBP,1.1635694484
2021-01-07,EUR,USD,0.9179785121
2021-01-08,EUR,EUR,1.0000000000
2021-01-08,EUR,GBP,1.1640907872
2021-01-08,EUR,USD,0.9192081430
2021-01-11,EUR,EUR,1.0000000000
2021-01-11,EUR,GBP,1.1713693152
2021-01-11,EUR,USD,0.9172330510
2021-01-12,EUR,EUR,1.0000000000
2021-01-12,EUR,GBP,1.1706802728
2021-01-12,EUR,USD,0.9175914653
2021-01-13,EUR,EUR,1.0000000000
2021-01-13,EUR,GBP,1.1734784256
2021-01-13,EUR,USD,0.9166099267
2021-01-14,EUR,EUR,1.0000000000
2021-01-14,EUR,GBP,1.1708038880
2021-01-14,EUR,USD,0.9162592326
2021-01-15,EUR,EUR,1.0000000000
2021-01-15,EUR,GBP,1.1769182855
2021-01-15,EUR,USD,0.9101207662
2021-01-18,EUR,EUR,1.0000000000
2021-01-18,EUR,GBP,1.1750880005
2021-01-18,EUR,USD,0.9148060979
2021-01-19,EUR,EUR,1.0000000000
2021-01-19,EUR,GBP,1.1699648109
2021-01-19,EUR,USD,0.9189762577
2021-01-20,EUR,EUR,1.0000000000
2021-01-20,EUR,GBP,1.1623022028
2021-01-20,EUR,USD,0.9267676938
2021-01-21,EUR,EUR,1.0000000000
2021-01-21,EUR,GBP,1.1631746830
2021-01-21,EUR,USD,0.9198361382
2021-01-22,EUR,EUR,1.0000000000
2021-01-22,EUR,GBP,1.1643592486
2021-01-22,EUR,USD,0.9146512868
2021-01-25,EUR,EUR,1.0000000000
2021-01-25,EUR,GBP,1.1684444254
2021-01-25,EUR,USD,0.9079705589
2021-01-26,EUR,EUR,1.0000000000
2021-01-26,EUR,GBP,1.1584352637
2021-01-26,EUR,USD,0.9186008890
2021-01-27,EUR,EUR,1.0000000000
2021-01-27,EUR,GBP,1.1662856587
2021-01-27,EUR,USD,0.9142164930
2021-01-28,EUR,EUR,1.0000000000
2021-01-28,EUR,GBP,1.1657859863
2021-01-28,EUR,USD,0.9160979904
2021-01-29,EUR,EUR,1.0000000000
2021-01-29,EUR,GBP,1.1638094177
2021-01-29,EUR,USD,0.9129329078
2021-02-01,EUR,EUR,1.0000000000
2021-02-01,EUR,GBP,1.1650699441
2021-02-01,EUR,USD,0.9129025612
2021-02-02,EUR,EUR,1.0000000000
2021-02-02,EUR,GBP,1.1587134590
2021-02-02,EUR,USD,0.9194457321
2021-02-03,EUR,EUR,1.0000000000
2021-02-03,EUR,GBP,1.1571050813
2021-02-03,EUR,USD,0.9186628281
2021-02-04,EUR,EUR,1.0000000000
2021-02-04,EUR,GBP,1.1568704645
2021-02-04,EUR,USD,0.9208383957
2021-02-05,EUR,EUR,1.0000000000
2021-02-05,EUR,GBP,1.1648909035
2021-02-05,EUR,USD,0.9123073028
2021-02-08,EUR,EUR,1.0000000000
2021-02-08,EUR,GBP,1.1550171307
2021-02-08,EUR,USD,0.9101896865
2021-02-09,EUR,EUR,1.0000000000
2021-02-09,EUR,GBP,1.1534371816
2021-02-09,EUR,USD,0.9053932349
2021-02-10,EUR,EUR,1.0000000000
2021-02-10,EUR,GBP,1.1622343832
2021-02-10,EUR,USD,0.8978115446
2021-02-11,EUR,EUR,1.0000000000
2021-02-11,EUR,GBP,1.1576550446
2021-02-11,EUR,USD,0.9000502744
2021-02-12,EUR,EUR,1.0000000000
2021-02-12,EUR,GBP,1.1545016296
2021-02-12,EUR,USD,0.9001546818
2021-02-15,EUR,EUR,1.0000000000
2021-02-15,EUR,GBP,1.1478821945
2021-02-15,EUR,USD,0.9095444788
2021-02-16,EUR,EUR,1.0000000000
2021-02-16,EUR,GBP,1.1535284098
2021-02-16,EUR,USD,0.9042893715
2021-02-17,EUR,EUR,1.0000000000
2021-02-17,EUR,GBP,1.1469784494
2021-02-17,EUR,USD,0.9071586158
2021-02-18,EUR,EUR,1.0000000000
2021-02-18,EUR,GBP,1.1534523712
2021-02-18,EUR,USD,0.9061432776
2021-02-19,EUR,EUR,1.0000000000
2021-02-19,EUR,GBP,1.1529236502
2021-02-19,EUR,USD,0.9031496681
2021-02-22,EUR,EUR,1.0000000000
2021-02-22,EUR,GBP,1.1589382586
2021-02-22,EUR,USD,0.8961141828
2021-02-23,EUR,EUR,1.0000000000
2021-02-23,EUR,GBP,1.1612410660
2021-02-23,EUR,USD,0.8918934721
2021-02-24,EUR,EUR,1.0000000000
2021-02-24,EUR,GBP,1.1597395322
2021-02-24,EUR,USD,0.8940375172
2021-02-25,EUR,EUR,1.0000000000
2021-02-25,EUR,GBP,1.1621101349
2021-02-25,EUR,USD,0.8938448276
2021-02-26,EUR,EUR,1.0000000000
2021-02-26,EUR,GBP,1.1610455488
2021-02-26,EUR,USD,0.8954422015
2021-03-01,EUR,EUR,1.0000000000
2021-03-01,EUR,GBP,1.1651245866
2021-03-01,EUR,USD,0.8947669151
2021-03-02,EUR,EUR,1.0000000000
2021-03-02,EUR,GBP,1.1618392869
2021-03-02,EUR,USD,0.8963615815
2021-03-03,EUR,EUR,1.0000000000
2021-03-03,EUR,GBP,1.1632692117
2021-03-03,EUR,USD,0.9001463912
2021-03-04,EUR,EUR,1.0000000000
2021-03-04,EUR,GBP,1.1607214956
2021-03-04,EUR,USD,0.9049262987
2021-03-05,EUR,EUR,1.0000000000
2021-03-05,EUR,GBP,1.1644350358
2021-03-05,EUR,USD,0.9051836617
2021-03-08,EUR,EUR,1.0000000000
2021-03-08,EUR,GBP,1.1692703307
2021-03-08,EUR,USD,0.8998577393
2021-03-09,EUR,EUR,1.0000000000
2021-03-09,EUR,GBP,1.1574738078
2021-03-09,EUR,USD,0.9094126214
2021-03-10,EUR,EUR,1.0000000000
2021-03-10,EUR,GBP,1.1561162325
2021-03-10,EUR,USD,0.9056550288
2021-03-11,EUR,EUR,1.0000000000
2021-03-11,EUR,GBP,1.1572567824
2021-03-11,EUR,USD,0.9015346848
2021-03-12,EUR,EUR,1.0000000000
2021-03-12,EUR,GBP,1.1532819298
2021-03-12,EUR,USD,0.9008867051
2021-03-15,EUR,EUR,1.0000000000
2021-03-15,EUR,GBP,1.1469439356
2021-03-15,EUR,USD,0.9055933872
2021-03-16,EUR,EUR,1.0000000000
2021-03-16,EUR,GBP,1.1584841037
2021-03-16,EUR,USD,0.8974591910
2021-03-17,EUR,EUR,1.0000000000
2021-03-17,EUR,GBP,1.1602010883
2021-03-17,EUR,USD,0.8893456735
2021-03-18,EUR,EUR,1.0000000000
2021-03-18,EUR,GBP,1.1641220446
2021-03-18,EUR,USD,0.8914266299
2021-03-19,EUR,EUR,1.0000000000
2021-03-19,EUR,GBP,1.1630813129
2021-03-19,EUR,USD,0.8934058432
2021-03-22,EUR,EUR,1.0000000000
2021-03-22,EUR,GBP,1.1623654863
2021-03-22,EUR,USD,0.8943401766
2021-03-23,EUR,EUR,1.0000000000
2021-03-23,EUR,GBP,1.1682750493
2021-03-23,EUR,USD,0.8944171788
